#METADATA,,,,,,,,,,,
#DATA,,,,,,,,,,,
"Study Name","Respondent Name","Gender","Age","Group","Type","Label","Facial Marker","Parent Stimulus","mean","standard deviation","variance"
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Sadness","FaceRecording-1",0.0910783460603939,0.220939640631898,0.0488143248025524
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Surprise","FaceRecording-1",0.0431973031407545,0.102135249235462,0.01043160913639
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Engagement","FaceRecording-1",0.47998482971239,3.93570032686114,15.4897370628548
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Valence","FaceRecording-1",0.360299281741085,3.41408095141948,11.6559487428453
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Sentimentality","FaceRecording-1",0.382194652933472,0.74487348352833,0.554836506463629
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Confusion","FaceRecording-1",0.268390416013495,2.24007612944436,5.01794106570644
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Neutral","FaceRecording-1",66.3549988129227,46.9363969832725,2203.02536177135
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Attention","FaceRecording-1",52.906515870968,42.2929570699823,1788.69421772336
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Brow Furrow","FaceRecording-1",0.045730641250732,0.648315227429985,0.420312634117592
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Brow Raise","FaceRecording-1",0.107308336070812,1.01547089714977,1.03118114295817
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Cheek Raise","FaceRecording-1",0.327832385368342,1.14298129868047,1.3064062491333
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Chin Raise","FaceRecording-1",0.128657355600512,2.07143940355836,4.29086120261422
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Dimpler","FaceRecording-1",0.0695238883501157,1.43373680977321,2.05560123969866
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Eye Closure","FaceRecording-1",14.0602941618873,24.1223808114658,581.889256013372
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Eye Widen","FaceRecording-1",0.0148133746973778,0.171130876000218,0.029285776720602
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Inner Brow Raise","FaceRecording-1",0.661478865716381,3.22975419388672,10.4313121529289
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Jaw Drop","FaceRecording-1",0.46318438575337,2.76918731629882,7.66839839275024
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Lip Corner Depressor","FaceRecording-1",0.0467229021209576,0.898981183384881,0.80816716808008
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Lip Press","FaceRecording-1",0.105204547190452,0.594286311767453,0.353176220354162
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Lip Pucker","FaceRecording-1",0.861478474323928,4.78992075438463,22.9433408332847
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Lip Stretch","FaceRecording-1",0.344153268404756,3.16044492021622,9.98841209372052
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Lip Suck","FaceRecording-1",0.932377834433036,3.38031806490682,11.4265502199354
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Lid Tighten","FaceRecording-1",0.0368995012009834,0.30602527568524,0.0936514693582271
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Mouth Open","FaceRecording-1",0.202062149736379,2.41921086268807,5.85258119814796
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Nose Wrinkle","FaceRecording-1",0.19465585316243,0.897119105996185,0.804822690343393
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Smile","FaceRecording-1",1.18211330812396,3.6581657790719,13.3821768671727
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Smirk","FaceRecording-1",0.00986933805618609,0.176084685872616,0.031005816598858
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Upper Lip Raise","FaceRecording-1",1.35409983874598,5.62853997671186,31.6804622694436
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Blink","FaceRecording-1",0.00180845452490393,0.0424879907720576,0.00180522935984645
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","BlinkRate","FaceRecording-1",2.60558412053091,5.14977920974573,26.5202259091293
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Pitch","FaceRecording-1",-4.99123166756558,5.86433656174162,34.3904433093795
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Yaw","FaceRecording-1",-8.21582407484443,9.99062094595641,99.8125068857829
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Roll","FaceRecording-1",-3.21367380737924,5.04271690704938,25.4289938046416
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Interocular Distance","FaceRecording-1",41.6401068600253,30.1664100677021,910.012296372756
